Date Sent,Email Subject,Total Recipients,Open Rate,CTOR,Unsubscribe Rate,Bounce Rate,Campaign_Type
2025-08-08,Newsletter: Updates & Opportunities,2379,69.36,3.94,0,0.17,Other Newsletter
2025-08-15,Newsletter: Team Leader Training & Career Development,2376,61.2,1.38,0,0.08,Other Newsletter
2025-08-22,Newsletter: Part-time jobs & work experience,2371,61.62,3.99,0,0.08,Other Newsletter
2025-08-29,Newsletter: Introducing New Team Leaders & Our Podcast,2359,59.73,9.77,0,0,Informational/Onboarding
2025-09-05,Newsletter: Finding Balance in Student Life,2347,57.27,5.31,0,0.04,Other Newsletter
2025-09-12,Newsletter: Your Feedback on the Welcome Desk,2350,66.94,8.32,0,0.04,Informational/Onboarding
2025-09-19,Newsletter: Introducing our new interns,2362,68.03,19.32,0,0.04,Informational/Onboarding
2025-09-26,Podcast + Newsletter,2364,53.89,1.12,0.09,0,Podcast+Newsletter
2025-10-03,Podcast + Newsletter,2365,52.77,3.94,0,0,Podcast+Newsletter
2025-10-10,Podcast + Newsletter,2343,52.454,1.54,0.47,0.04,Podcast+Newsletter
2025-10-17,Podcast + Newsletter,2336,52.22,1.13,0.64,0.04,Podcast+Newsletter
2025-10-24,Podcast + Newsletter,2332,52.87,2.77,0.47,0,Podcast+Newsletter
2025-10-31,Podcast + Newsletter,2334,53.3,6.12,0.21,0,Podcast+Newsletter
2025-11-07,Podcast + Newsletter,2339,52.58,6.28,0.34,0,Podcast+Newsletter
2025-11-16,Podcast + Newsletter,2357,52.82,0.77,0.55,0,Podcast+Newsletter
2025-11-23,Podcast + Newsletter,2360,52.8,2.39,0.51,0,Podcast+Newsletter
2025-11-30,Podcast + Newsletter,2356,50.4,0.84,0.34,0.13,Podcast+Newsletter
2025-12-15,Podcast + Newsletter : Please Take Care,2363,52.7,0.482,0.42,0,Podcast+Newsletter
2025-12-24,Podcast + Newsletter : Merry Xmas,2362,47,3.7,0.38,0.21,Podcast+Newsletter
2026-01-14,Podcast + Newsletter,2367,47,5.62,0.30,0.04,Podcast+Newsletter
2026-01-15,Podcast + Newsletter,387,82.69,79.38,0.52,0.30,Podcast+Newsletter
2026-04-27,Newsletter - LIA Induction + Survey,3497,41.12,16.24,0.94,1.68,Informational/Onboarding
2026-05-01,Newsletter - LIA Induction + Survey,13267,28.78,4.74,0.75,0.89,Informational/Onboarding
2026-05-10,Newsletter - Survey + Ozbuddy + Digital storyteller,16557,39.22,16,0.71,0.31,Informational/Onboarding
2026-05-28,Newsletter - Ozbuddy Promotion,16463,24.7,1,0.63,0.35,Promotion
2026-06-03,Intro to LiA - 2airport contact,3758,30.42,2,1.14,0.29,Event-based
2026-06-05,Intro to LiA - Burwood Event contact,75,29.33,18,0,0,Event-based
2026-06-22,Newsletter - Employment Hero Promotion,19638,24.64,2,0.40,0.40,Promotion
2026-06-25,Newsletter - Wrap up Welcome Desk Program,19525,32.72,2.4,0.60,0.14,Informational/Onboarding
2026-07-02,Newsletter - You're Invited to Celebrate the Launch of LIA,16182,27.27,3.15,0.42,0.39,Other Newsletter
2026-07-06,Newsletter - You're Invited To LIA's Launch Party!,19203,17.78,6.89,0.23,0.55,Other Newsletter
2026-07-13,Reminder - Launch of Live In Australia,57,54.39,19.30,0,0,Reminder
2026-07-14,Reminder - for who have OPENED but not CLICKED,15484,7.23,0.13,0.22,1.02,Reminder
2026-07-15,Reminder - Launch of Live In Australia,63,55.56,14.29,0,0,Reminder
2026-07-22,Post event - Recognition event,66,54.55,19.7,0,0,Event-based
2026-07-22,Newsletter - Introduce LiA + Oz buddy + Internship,19018,25.83,0.35,0.30,0.64,Promotion
2026-08-14,Newsletter - Promote EH + CC,18934,26.29,0.13,0.29,0.71,Promotion
2026-09-04,Newsletter - Promote OzBuddy,18857,25.05,0.12,0.25,0.76,Promotion
